,college,classe,ont_compose_m,ont_compose_f,ont_compose_t,pas_compose_m,pas_compose_f,pas_compose_t,inf_6.5_m,inf_6.5_f,inf_6.5_t,6.5_7.5_m,6.5_7.5_f,6.5_7.5_t,7.5_9_m,7.5_9_f,7.5_9_t,9_10_m,9_10_f,9_10_t,10_11_m,10_11_f,10_11_t,11_12_m,11_12_f,11_12_t,12_14_m,12_14_f,12_14_t,14_16_m,14_16_f,14_16_t,sup_16_m,sup_16_f,sup_16_t
0,CPEG ADAI,6e,9,9,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,5.6,22.2,11.1,16.7,33.3,22.2,27.8,33.3,44.4,38.9,11.1,0.0,5.6,0.0,11.1,5.6
1,CPEG ADAI,5e,16,8,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,25.0,16.7,31.2,25.0,29.2,18.8,0.0,12.5,18.8,25.0,20.8,12.5,25.0,16.7,6.2,0.0,4.2
2,CPEG ADAI,4e,9,9,18,11.1,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,5.6,0.0,33.3,16.7,22.2,22.2,22.2,33.3,11.1,22.2,22.2,22.2,22.2,11.1,0.0,5.6,11.1,0.0,5.6
3,CPEG ADAI,3e,20,12,32,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.3,12.5,20.0,16.7,18.8,20.0,25.0,21.9,25.0,8.3,18.8,0.0,25.0,9.4,15.0,8.3,12.5,5.0,8.3,6.2,0.0,0.0,0.0
4,CPEG ADAI,TOTAL CYCLE 1,54,38,92,1.9,0.0,1.1,0.0,0.0,0.0,5.6,2.6,4.3,7.4,7.9,7.6,11.1,23.7,16.3,25.9,15.8,21.7,16.7,15.8,16.3,20.4,23.7,21.7,9.3,7.9,8.7,3.7,2.6,3.3
5,CPEG AMITIE,6e,27,11,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,2.6,7.4,27.3,13.2,14.8,18.2,15.8,37.0,18.2,31.6,22.2,36.4,26.3,14.8,0.0,10.5
6,CPEG AMITIE,5e,56,11,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.5,12.5,27.3,14.9,19.6,18.2,19.4,21.4,9.1,19.4,23.2,27.3,23.9,12.5,9.1,11.9,8.9,9.1,9.0
7,CPEG AMITIE,4e,36,19,55,5.6,5.3,5.5,0.0,0.0,0.0,0.0,0.0,0.0,5.6,15.8,9.1,16.7,21.1,18.2,13.9,5.3,10.9,27.8,21.1,25.5,22.2,15.8,20.0,8.3,21.1,12.7,5.6,0.0,3.6
8,CPEG AMITIE,3e,43,12,55,2.3,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.7,14.5,11.6,33.3,16.4,11.6,8.3,10.9,37.2,16.7,32.7,11.6,25.0,14.5,7.0,0.0,5.5,7.0,0.0,5.5
9,CPEG AMITIE,TOTAL CYCLE 1,162,53,215,1.9,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,5.6,9.4,6.5,11.7,20.8,14.0,14.2,13.2,14.0,25.9,17.0,23.7,22.2,20.8,21.9,11.7,17.0,13.0,8.6,1.9,7.0
10,CPEG CLE DOR,6e,20,10,30,0.0,0.0,0.0,5.0,0.0,3.3,0.0,0.0,0.0,15.0,10.0,13.3,10.0,10.0,10.0,10.0,0.0,6.7,5.0,20.0,10.0,30.0,10.0,23.3,15.0,40.0,23.3,10.0,10.0,10.0
11,CPEG CLE DOR,5e,20,14,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.9,5.0,0.0,2.9,5.0,28.6,14.7,20.0,28.6,23.5,35.0,28.6,32.4,25.0,7.1,17.6,5.0,7.1,5.9
12,CPEG CLE DOR,4e,12,12,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,16.7,16.7,33.3,16.7,25.0,25.0,41.7,33.3,8.3,0.0,4.2,8.3,16.7,12.5,8.3,8.3,8.3,0.0,0.0,0.0
13,CPEG CLE DOR,3e,15,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,20.0,25.0,20.0,0.0,15.0,26.7,40.0,30.0,0.0,20.0,5.0,20.0,20.0,20.0,6.7,0.0,5.0,0.0,0.0,0.0
14,CPEG CLE DOR,TOTAL CYCLE 1,67,41,108,0.0,0.0,0.0,1.5,0.0,0.9,0.0,0.0,0.0,14.9,9.8,13.0,14.9,7.3,12.0,14.9,26.8,19.4,9.0,17.1,12.0,25.4,19.5,23.1,14.9,14.6,14.8,4.5,4.9,4.6
15,CPEG LEADER,6e,6,6,12,0.0,0.0,0.0,16.7,0.0,8.3,0.0,0.0,0.0,33.3,0.0,16.7,0.0,0.0,0.0,16.7,0.0,8.3,16.7,50.0,33.3,0.0,0.0,0.0,0.0,50.0,25.0,16.7,0.0,8.3
16,CPEG LEADER,5e,13,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,14.3,15.0,7.7,0.0,5.0,7.7,14.3,10.0,38.5,14.3,30.0,15.4,28.6,20.0,7.7,14.3,10.0,7.7,14.3,10.0
17,CPEG LEADER,4e,10,6,16,0.0,0.0,0.0,0.0,16.7,6.2,10.0,0.0,6.2,10.0,0.0,6.2,30.0,16.7,25.0,20.0,16.7,18.8,20.0,33.3,25.0,10.0,16.7,12.5,0.0,0.0,0.0,0.0,0.0,0.0
18,CPEG LEADER,3e,21,10,31,0.0,0.0,0.0,9.5,20.0,12.9,9.5,20.0,12.9,14.3,10.0,12.9,23.8,20.0,22.6,19.0,30.0,22.6,14.3,0.0,9.7,9.5,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0
19,CPEG LEADER,TOTAL CYCLE 1,50,29,79,0.0,0.0,0.0,6.0,10.3,7.6,6.0,6.9,6.3,16.0,6.9,12.7,18.0,10.3,15.2,16.0,17.2,16.5,22.0,20.7,21.5,10.0,10.3,10.1,2.0,13.8,6.3,4.0,3.4,3.8
20,CPEG LEADER,2nde A2,4,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,75.0,25.0,50.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,CPEG LEADER,2nde D,4,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,20.0,0.0,0.0,0.0,50.0,0.0,40.0,25.0,0.0,20.0,0.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
22,CPEG LEADER,1ère A2,10,5,15,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.7,50.0,80.0,60.0,0.0,0.0,0.0,30.0,0.0,20.0,10.0,0.0,6.7,0.0,20.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
23,CPEG LEADER,1ère D,9,4,13,11.1,0.0,7.7,0.0,0.0,0.0,0.0,25.0,7.7,11.1,25.0,15.4,22.2,25.0,23.1,33.3,25.0,30.8,33.3,0.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,CPEG LEADER,Tle A2,19,7,26,5.3,14.3,7.7,10.5,14.3,11.5,5.3,14.3,7.7,26.3,28.6,26.9,36.8,14.3,30.8,5.3,14.3,7.7,15.8,14.3,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,CPEG LEADER,TOTAL CYCLE 2,46,21,67,4.3,4.8,4.5,4.3,4.8,4.5,4.3,9.5,6.0,26.1,33.3,28.4,19.6,19.0,19.4,26.1,14.3,22.4,19.6,9.5,16.4,0.0,9.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0
